Ticker,Company Name,HQ City,HQ State/Province,HQ Country,ESG Risk Score,ESG Risk Score Level,ESG Risk Score Percentile,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level Risk Text,2019 Performance,Market Cap,Exchange,CEO,Logo Image URL,Website URL,Industry,Sector,Company Description,Latitude,Longitude,address
ANET,Arista Networks Inc.,Santa clara,California,United states of america,20,Low,18th percentile,0.9,9.6,9,Moderate,-3.464641671,1.77E+10,New York Stock Exchange,Jayshree Ullal,https://financialmodelingprep.com/images-New-jpg/ANET.jpg,http://www.arista.com,Computer Hardware,Technology,"Arista Networks Inc is a supplier of cloud networking solutions that use software innovations to address the needs of large-scale Internet companies, cloud service providers, and next-generation data centers for enterprise support.",37.3541079,-121.9552356,"Santa clara,California,United states of america"
HES,Hess Corporation,New york city,New york,United states of america,32,High,60th percentile,17.5,6.8,7.2,Low,64.96296296,1.78E+10,New York Stock Exchange,John B. Hess,https://financialmodelingprep.com/images-New-jpg/HES.jpg,http://www.hess.com,Oil & Gas - E&P,Energy,"Hess Corp is an oil and gas company involved in the exploration, development, production, transportation, purchase and sale of crude oil, natural gas liquids, and natural gas with production operations.",40.7127753,-74.0059728,"New york city,New york,United states of america"
CHD,Church & Dwight Company Inc.,Ewing,New jersey,United states of america,25,Medium,38th percentile,8.9,8.6,8,Moderate,6.979927007,1.79E+10,New York Stock Exchange,Matthew T. Farrell,https://financialmodelingprep.com/images-New-jpg/CHD.jpg,http://www.churchdwight.com,Consumer Packaged Goods,Consumer Defensive,"Church & Dwight Co Inc is engaged in the household products industry. It manufactures and markets personal care products under brands like Oxiclean, Spinbrush, First Response and Trojan.",40.2599864,-74.7909125,"Ewing,New jersey,United states of america"
KEYS,Keysight Technologies Inc.,Santa rosa california,California,United states of america,10,Negligible,1st percentile,1.6,2.7,5.4,Low,65.3189433,1.80E+10,New York Stock Exchange,Ronald S. Nersesian,https://financialmodelingprep.com/images-New-jpg/KEYS.jpg,http://www.investor.keysight.com,Computer Hardware,Technology,"Keysight Technologies Inc is a measurement company providing core electronic design and test solutions to communications and electronics industries. It provides electronic measurement instruments and systems and related software, software design tools.",38.440429,-122.7140548,"Santa rosa california,California,United states of america"
ABC,AmerisourceBergen Corporation,Chesterbrook,Pennsylvania,United states of america,18,Low,14th percentile,2.6,9.1,6.1,Significant,14.27419355,1.83E+10,New York Stock Exchange,Steven H. Collis,https://financialmodelingprep.com/images-New-jpg/ABC.jpg,http://www.amerisourcebergen.com,Medical Distribution,Healthcare,"AmerisourceBergen Corp is a pharmaceutical services company. It provides drug distribution and related healthcare services and solutions to pharmacy, physician, and manufacturer customers based in the United States and Canada.",40.0756627,-75.4590816,"Chesterbrook,Pennsylvania,United states of america"
S,Sprint Corporation,Overland park,Kansas,United states of america,27,Medium,44th percentile,3,14.8,9.4,Moderate,-10.48109966,1.83E+10,New York Stock Exchange,Marcelo Claure,https://financialmodelingprep.com/images-New-jpg/S.jpg,http://www.sprint.com,Communication Services,Communication Services,"Sprint Corp is a communications company offering wireless and wireline communications products and services. It offers products and services to individual consumers, businesses, government subscribers and resellers.",38.9822282,-94.6707917,"Overland park,Kansas,United states of america"
EFX,Equifax Inc.,Atlanta,Georgia,United states of america,28,Medium,47th percentile,0.2,21,7.1,Severe,50.45635134,1.85E+10,New York Stock Exchange,Paulino R. Barros,https://financialmodelingprep.com/images-New-jpg/EFX.jpg,http://www.equifax.com,Business Services,Industrials,"Equifax Inc provides information solutions and human resources business process outsourcing services for businesses, governments and consumers. It also provides database management, fraud detection, marketing, business credit, and analytical services.",33.7489954,-84.3879824,"Atlanta,Georgia,United states of america"
QSR,Restaurant Brands International Inc.,Toronto,Ontario,Canada,27,Medium,42nd percentile,6.6,12.1,8,Significant,21.93116635,1.85E+10,New York Stock Exchange,Daniel Schwartz,https://financialmodelingprep.com/images-New-jpg/QSR.jpg,http://www.rbi.com,Restaurants,Consumer Cyclical,"Restaurant Brands International Inc is a quick service restaurant company. It owns and operates restaurants brands include Burger King, Tim Hortons, and Popeyes Louisiana Kitchen.",43.653226,-79.3831843,"Toronto,Ontario,Canada"
HPE,Hewlett Packard Enterprise Company,San jose,California,United states of america,17,Low,12th percentile,0.8,9.8,6.6,Moderate,20.06056018,1.86E+10,New York Stock Exchange,Margaret C. Whitman,https://financialmodelingprep.com/images-New-jpg/HPE.jpg,https://www.hpe.com,Communication Equipment,Technology,"Hewlett Packard Enterprise Co is a communication equipment company that provides servers, storage, networking and technology services. Its business segments are Enterprise Group, Software, Enterprise Services, Financial Services and Corporate Investments.",37.3382082,-121.8863286,"San jose,California,United states of america"
KEY,KeyCorp,Cleveland,Ohio,United states of america,25,Medium,35th percentile,2.1,11.8,10.7,Moderate,36.94181326,1.86E+10,New York Stock Exchange,Beth E. Mooney,https://financialmodelingprep.com/images-New-jpg/KEY.jpg,http://www.key.com,Banks,Financial Services,"KeyCorp is present in the financial service domain. Its core revenue is derived from the provision of retail and commercial banking, investment management and consumer finance services.",41.49932,-81.6943605,"Cleveland,Ohio,United states of america"
AJG,Arthur J. Gallagher & Co.,Rolling meadows,Illinois,United states of america,25,Medium,36th percentile,0.1,11,13.9,Moderate,29.21302578,1.87E+10,New York Stock Exchange,J. Patrick Gallagher,https://financialmodelingprep.com/images-New-jpg/AJG.jpg,http://www.ajg.com,Brokers & Exchanges,Financial Services,Arthur J. Gallagher & Co is engaged in providing insurance brokerage and consulting services and third-party claims settlement and administration services to both domestic and international entities.,42.0841936,-88.0131275,"Rolling meadows,Illinois,United states of america"
VMC,Vulcan Materials Company (Holding Company),Birmingham,Alabama,United states of america,33,High,66th percentile,19.7,4.8,8.8,Moderate,45.7388664,1.88E+10,New York Stock Exchange,J. Hill,https://financialmodelingprep.com/images-New-jpg/VMC.jpg,http://www.vulcanmaterials.com,Building Materials,Basic Materials,"Vulcan Materials Co is a producer of construction aggregates including crushed stone, sand and gravel; and asphalt mix and ready-mixed concrete in the United States. These materials are used to build the roads, tunnels, bridges, railroads and airports.",33.5185892,-86.8103567,"Birmingham,Alabama,United states of america"
GRMN,Garmin Ltd.,Schaffhausen,Schaffhausen,Switzerland,21,Medium,23rd percentile,5.3,9.8,6.1,Low,54.07454201,1.89E+10,Nasdaq Global Select,Clifton A. Pemble,https://financialmodelingprep.com/images-New-jpg/GRMN.jpg,http://www.garmin.com,Computer Hardware,Technology,"Garmin Ltd designs, develops, manufactures, markets and distributes hand-held, wrist-based, portable, fixed-mount, positioning system enabled and other navigation, communication and sensor-based products.",47.6958897,8.6380489,"Schaffhausen,Schaffhausen,Switzerland"
MTD,Mettler-Toledo International Inc.,Columbus,Ohio,United states of america,12,Low,3rd percentile,0.9,5.7,5.9,Low,40.25955656,1.89E+10,New York Stock Exchange,Olivier A. Filliol,https://financialmodelingprep.com/images-New-jpg/MTD.jpg,http://www.mt.com,Medical Instruments & Equipment,Healthcare,"Mettler-Toledo International Inc supplies weighing and precision instruments to customers in the life sciences, industrial and food retail industries. Its products are laboratory scales, pipettes, pH meters, thermal analysis equipment and others.",39.9611755,-82.9987942,"Columbus,Ohio,United states of america"
CAP.PA,Capgemini SE,Paris,Ile-de-france,France,15,Negligible,7th percentile,1,8,6,Moderate,25.46082949,1.90E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/CAP.PA.jpg,http://www.capgemini.com,Information Technology Services,Technology,"Capgemini SE provides consulting, technology, and digital transformation services. It addresses clients' opportunities in the world of cloud, digital, and platforms, as well as enables organizations to realize business ambitions through an array of services from strategy to operations. The company's Consulting Services segment offers strategy and transformation consulting services, including strategy, technology, data science, and creative design to support various companies and organizations in creating models, and products and services within the digital economy. Its Technology and Engineering Services segment provides assistance and support to internal IT and engineering teams within clients' organizations in the cloud, cybersecurity, quality assurance, testing, and new technologies fields. The company's Application Services segment devises, develops, implements, and maintains IT applications, such as system integration and application maintenance activities. Its Other Man",48.856614,2.3522219,"Paris,Ile-de-france,France"
ML.PA,Compagnie Generale des Etablissements Michelin,Clermont-ferrand,Auvergne-rhone-alpes,France,17,Negligible,10th percentile,4,6,7,Moderate,25.83621684,1.90E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/ML.PA.jpg,http://www.michelin.com,Auto Parts,Consumer Cyclical,"Compagnie Générale des Établissements Michelin manufactures, distributes, and sells tires worldwide. It operates through three segments: Automotive and Related Distribution, Road Transportation and Related Distribution, and Specialty Businesses and Related Distribution. The company offers tires for cars, motorcycles, scooters, trucks, agricultural, and construction equipment, as well as bikes, freight transport, public transit, trucking, civil engineering, and aviation. It is also involved in the provision of tire-related services, including design, development, and fine-tuning of mobility solutions for fleet managers; mobility services, such as road maps, mobile apps, itineraries, and travel guides; lifestyle products comprising car and bike accessories, shoe soles, and sports and leisure gears; and high-tech materials that include 3D printing, chemical and specialty, rubber, biosourced, recycled, and hydrogen materials. The company was formerly known as Manufacture de Caout",45.777222,3.087025,"Clermont-ferrand,Auvergne-rhone-alpes,France"
FRC,FIRST REPUBLIC BANK,San francisco,California,United states of america,26,Medium,41st percentile,2,12.5,11.8,Low,35.15535098,1.90E+10,New York Stock Exchange,James Herbert,https://financialmodelingprep.com/images-New-jpg/FRC.jpg,http://www.firstrepublic.com,Banks,Financial Services,"First Republic Bank is engaged in providing personalized, relationship-based services, including private banking, private business banking, real estate lending and wealth management services, including trust and custody services.",37.7749295,-122.4194155,"San francisco,California,United states of america"
NDAQ,Nasdaq Inc.,New york,New york,United states of america,17,Negligible,12th percentile,2,8,7,Moderate,31.29827142,1.90E+10,Nasdaq Global Select,Adena T. Friedman,https://financialmodelingprep.com/images-New-jpg/NDAQ.jpg,http://www.nasdaq.com,Brokers & Exchanges,Financial Services,"Nasdaq Inc is a provider of trading, clearing, exchange technology, regulatory, securities listing, information and public company services.",40.7127753,-74.0059728,"New york,New york,United states of america"
CDW,CDW Corporation,Vernon hills,Illinois,United states of america,11,Low,2nd percentile,3.6,3.5,4,,76.23689081,1.92E+10,Nasdaq Global Select,Thomas E. Richards,https://financialmodelingprep.com/images-New-jpg/CDW.jpg,http://www.cdw.com,Application Software,Technology,"CDW Corp provides IT solutions to small, medium and large business, government, education and healthcare customers in the U.S. and Canada, and the UK. Its offerings include mobility, security, and data center optimization.",42.2393323,-87.9653565,"Vernon hills,Illinois,United states of america"
CMS,CMS Energy Corporation,Jackson,Michigan,United states of america,28,Medium,45th percentile,13.6,9.1,4.9,Moderate,26.56596173,1.93E+10,New York Stock Exchange,Patricia Kessler Poppe,https://financialmodelingprep.com/images-New-jpg/CMS.jpg,http://www.cmsenergy.com,Utilities - Regulated,Utilities,CMS Energy Corp is utility company operating in Michigan. It is engaged in independent power production and owns power generation facilities fueled by natural gas and renewable sources.,42.245869,-84.4013462,"Jackson,Michigan,United states of america"
DB,Deutsche Bank AG,Frankfurt,Hessen,Germany,34,High,68th percentile,2,16.2,15.9,High,-4.539877301,1.93E+10,New York Stock Exchange,Not Available,https://financialmodelingprep.com/images-New-jpg/DB.jpg,https://www.db.com,Banks,Financial Services,"Deutsche Bank AG is a leading private bank. It offers investment, financial and related products and services to private individuals, corporate entities and institutional clients around the world.",50.1109221,8.6821267,"Frankfurt,Hessen,Germany"
HAL,Halliburton Company,Houston,Texas,United states of america,31,High,57th percentile,11.3,11.3,8.1,Moderate,-7.938299473,1.93E+10,New York Stock Exchange,Jeffrey A. Miller,https://financialmodelingprep.com/images-New-jpg/HAL.jpg,http://www.halliburton.com,Oil & Gas - Services,Energy,"Halliburton Co is a provider of services and products to the upstream oil and natural gas industry throughout the lifecycle of the reservoir, from locating hydrocarbons and managing geological data, to drilling and formation evaluation.",29.7604267,-95.3698028,"Houston,Texas,United states of america"
DSM.AS,Koninklijke DSM N.V.,Heerlen,Limburg,Netherlands,19,Negligible,17th percentile,9,5,6,Low,62.51399776,1.93E+10,Amsterdam,Not Available,https://financialmodelingprep.com/images-New-jpg/DSM.AS.jpg,http://www.dsm.com,Specialty Chemicals,Basic Materials,"Koninklijke DSM N.V., a science-based company, engages in nutrition, health, and materials businesses in the Netherlands, North America, the United Kingdom, France, Germany, Switzerland, the Asia-Pacific, and internationally.. The company operates through Nutrition, Materials, and Innovation Center segments. The Nutrition segment offers nutrients, such as vitamins, carotenoids, nutritional lipids, and other ingredients to feed, food, pharmaceutical, and personal care industries; and food enzymes, cultures, yeast extracts, savory flavors, hydrocolloids, and other specialty ingredients for dairy, baking, beverage, and savory applications. The Materials segment provides specialty plastics for the electrical and electronics, automotive, flexible food packaging, and consumer goods industries; Dyneema, a fiber solution for protective solutions and commercial marine applications; and resins solutions for paints and industrial, and optical fiber coatings. The Innovation Center segmen",50.8881742,5.9794988,"Heerlen,Limburg,Netherlands"
DISH,DISH Network Corporation,Englewood,Colorado,United states of america,21,Medium,22nd percentile,2.4,9.2,9.1,Significant,42.05046055,1.94E+10,Nasdaq Global Select,W. Erik Carlson,https://financialmodelingprep.com/images-New-jpg/DISH.jpg,http://www.dish.com,Communication Services,Communication Services,DISH Network Corp provides a direct broadcast satellite subscription television service in the United States. It offers pay-TV services under the DISH brand and the Sling brand.,39.6477653,-104.9877597,"Englewood,Colorado,United states of america"
CLX,Clorox Company (The),Oakland,California,United states of america,23,Medium,31st percentile,8.2,8,7.3,Moderate,-0.38925652,1.96E+10,New York Stock Exchange,Not Available,https://financialmodelingprep.com/images-New-jpg/CLX.jpg,http://www.thecloroxcompany.com,Consumer Packaged Goods,Consumer Defensive,"Clorox Co is engaged in the household product market. The Company sells its products primarily through grocery stores, e-commerce channels and medical supply distributors.",37.8043514,-122.2711639,"Oakland,California,United states of america"
LR.PA,Legrand SA,Limoges,Nouvelle-aquitaine,France,19,Negligible,16th percentile,5,6,8,Moderate,47.34279919,1.96E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/LR.PA.jpg,http://www.legrand.com,Specialty Industrial Machinery,Industrials,"Legrand SA, together with its subsidiaries, provides electrical and digital building infrastructures worldwide. The company offers a range of products and solutions that connect buildings to energy, data, and lighting, such as switches, power sockets, distribution panels, circuit breakers, lighting management products, security systems, trunkings, floor boxes, enclosures, sockets, screen mounts, uninterruptible power supply devices, tubes, ducts, extensions, and others. Its products are used in hotels, offices, data centers, and shopping centers, as well as residential, healthcare, and industrial sectors. The company was founded in 1865 and is headquartered in Limoges, France.",45.833619,1.261105,"Limoges,Nouvelle-aquitaine,France"
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 (Cayman Islands),Beijing,Beijing,China,16,Low,8th percentile,0.2,9.4,6.1,Moderate,121.2187557,1.96E+10,New York Stock Exchange,Chenggang Zhou,https://financialmodelingprep.com/images-New-jpg/EDU.jpg,http://www.neworiental.org,Education,Consumer Defensive,"New Oriental Education & Technology Group Inc provides private educational services in China based on the number of program offerings, total student enrollments, and geographic presence.",39.9041999,116.4073963,"Beijing,Beijing,China"
UAL,United Continental Holdings,Chicago,Illinois,United states of america,29,Medium,52nd percentile,10.2,13.5,5.7,Moderate,5.207213663,1.97E+10,New York Stock Exchange,Oscar Munoz,https://financialmodelingprep.com/images-New-jpg/UAL.jpg,http://www.unitedcontinentalholdings.com,Airlines,Industrials,United Continental Holdings Inc is a holding company. It transports people and cargo through its mainline and regional operations.,41.8781136,-87.6297982,"Chicago,Illinois,United states of america"
NOKIA.PA,Nokia Corporation,Espoo,Etela-suomen,Finland,14,Negligible,5th percentile,1,7,6,Moderate,-34.58498024,1.98E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/NOKIA.PA.jpg,http://www.nokia.com,Communication Equipment,Technology,"Nokia Corporation engages in the network and technology businesses worldwide. The company operates in four segments: Ultra Broadband Networks, Global Services, IP Networks and Applications, and Nokia Technologies. It provides hardware, software, and services for telecommunications operators, enterprises, and related markets/verticals, including public safety and Internet of Things (IoT). It also offers fixed networking solutions, such as copper based solutions; fiber technology solutions, including gigabit passive optical networks, Ethernet point-to-point, and 10 gigabit next generation fiber technologies; and fiber access products, solutions, and services. In addition, the company provides network infrastructure and implementation, care, and professional services comprising network planning and optimization, and systems integration services for mobile networks; and managed services for the fixed, mobile, applications, Internet protocol (IP), and optical domains. Further, it ",60.2054911,24.6559,"Espoo,Etela-suomen,Finland"
