,Industry,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,2019 Performance,Market Cap,Latitude,Longitude
66,Manufacturing - Apparel & Furniture,17.8,4.04,7.11,6.72,27.99,24813000000.0,40.13,-87.33
67,Medical Devices,30.71,3.56,16.23,10.89,33.14,65357142857.14,41.09,-87.32
68,Medical Diagnostics & Research,24.8,2.48,13.58,8.71,36.03,39970000000.0,40.17,-75.52
69,Medical Distribution,17.25,2.58,8.82,5.95,15.31,17725000000.0,38.45,-82.23
70,Medical Instruments & Equipment,24.17,2.7,13.15,8.53,29.62,35333333333.33,38.91,-85.77
71,Medical Instruments & Supplies,19.0,2.0,9.0,8.0,69.09,15000000000.0,43.29,5.57
72,Metals & Mining,29.67,13.48,9.26,6.9,16.57,15978888888.89,42.46,-104.14
73,Oil & Gas - Drilling,28.5,9.45,9.8,9.3,-3.05,3675000000.0,41.68,-43.75
74,Oil & Gas - E&P,43.79,22.9,11.79,8.98,-6.93,14278789473.68,35.27,-96.85
75,Oil & Gas - Integrated,35.6,19.42,8.36,7.8,8.38,116200000000.0,40.49,-108.48
76,Oil & Gas - Midstream,28.71,13.06,11.36,4.23,25.61,37817142857.14,37.67,-100.89
77,Oil & Gas - Refining & Marketing,35.75,21.45,8.98,5.5,13.88,30397500000.0,33.25,-93.58
78,Oil & Gas - Services,29.67,11.33,10.2,8.07,0.32,24836666666.67,29.76,-95.37
79,Oil & Gas E&P,29.67,14.0,7.67,7.67,-12.26,2743333333.33,51.04,-114.07
80,Oil & Gas Integrated,44.0,27.0,27.5,26.75,11.33,111175000000.0,49.27,-23.24
81,Oil & Gas Midstream,44.0,39.0,38.0,60.0,-2.88,34300000000.0,32.78,-96.8
82,Online Media,25.22,3.32,12.38,9.31,32.57,307666666666.67,39.6,-37.71
83,Packaged Foods,37.0,15.0,15.0,7.0,2.58,16800000000.0,45.59,-73.6
84,Packaging & Containers,19.86,13.23,2.27,4.43,29.2,11655714285.71,38.71,-85.45
85,Personal Services,15.0,0.0,10.0,5.0,14.33,8830000000.0,29.76,-95.37
86,Pollution & Treatment Controls,32.0,16.0,7.0,9.0,24.38,9920000000.0,50.85,4.35
87,REITs,16.49,4.58,5.61,6.22,19.36,18998857142.86,37.65,-92.95
88,REIT—Diversified,12.0,2.5,3.5,6.0,33.06,8365000000.0,48.97,4.23
89,REIT—Retail,18.0,5.0,6.0,6.0,12.44,8650000000.0,43.65,-79.38
90,Real Estate Services,19.6,3.08,9.12,7.7,41.85,23352000000.0,38.82,-88.73
91,Restaurants,24.62,5.11,13.4,6.19,31.33,47062500000.0,39.47,-91.67
92,Retail - Apparel & Specialty,16.12,2.55,8.14,5.43,19.58,52331600000.0,39.2,-82.84
93,Retail - Defensive,19.88,3.6,10.0,6.21,51.97,82480000000.0,36.75,-67.39
94,Semiconductor Equipment & Materials,13.0,4.0,3.0,6.0,92.26,113000000000.0,51.42,5.41
95,Semiconductors,22.57,8.51,6.75,7.33,62.03,57618571428.57,38.66,-93.68
96,Software—Application,16.0,1.0,9.0,6.0,41.32,41000000000.0,48.79,2.19
97,Specialty Chemicals,25.0,12.5,5.5,8.0,44.42,12865000000.0,49.91,4.12
98,Specialty Industrial Machinery,16.0,3.33,5.33,7.67,34.59,26966666666.67,47.88,1.92
99,Specialty Retail,15.5,2.5,7.0,5.5,23.81,7975000000.0,47.98,-37.31
100,Staffing & Employment Services,12.0,0.0,9.0,4.0,35.79,9640000000.0,52.34,4.96
101,Steel,38.25,15.82,14.78,7.75,-7.32,9165000000.0,37.63,-82.59
102,Telecom Services,17.33,2.17,8.0,7.33,0.92,22808333333.33,48.43,4.29
103,Tobacco Products,27.0,6.45,13.25,7.2,14.25,110350000000.0,39.13,-75.72
104,Transportation & Logistics,21.0,6.57,10.01,4.55,25.7,52050000000.0,39.68,-92.7
105,Travel & Leisure,22.06,5.47,9.91,6.74,21.21,22474375000.0,35.68,-91.43
106,Truck Manufacturing,35.0,8.2,17.3,9.6,38.43,26300000000.0,47.61,-122.2
107,Utilities - Independent Power Producers,31.5,11.65,12.2,7.85,40.21,8990000000.0,37.07,-79.53
108,Utilities - Regulated,32.6,15.26,10.92,6.38,22.77,32565333333.33,38.36,-85.64
109,Utilities—Diversified,34.0,15.5,11.0,8.0,21.28,26000000000.0,46.75,-30.61
110,Utilities—Renewable,85.0,82.0,86.0,90.0,34.96,10400000000.0,40.42,-3.7
111,Waste Management,24.6,12.54,7.16,4.92,36.12,25814000000.0,39.61,-74.49
